time,Queue_1_load,Queue_2_load,Queue_3_load,Queue_4_load
33.930030000000215,,,,0.0
34.00000000000021,0.0,0.0,0.0,
34.03003000000022,,,,0.0
34.100000000000215,0.0,0.0,0.0,
34.13003000000022,,,,0.0
34.200000000000216,0.0,0.0,0.0,
34.23003000000022,,,,0.0
34.30000000000022,0.0,0.0,0.0,
34.33003000000022,,,,0.0
34.40000000000022,0.0,0.0,0.0,
34.43003000000022,,,,0.0
34.50000000000022,0.0,0.0,0.0,
34.530030000000224,,,,0.0
34.60000000000022,0.0,0.0,0.0,
34.630030000000225,,,,0.0
34.70000000000022,0.0,0.0,0.0,
34.73003000000023,,,,0.0
34.800000000000225,0.0,0.0,0.0,
34.83003000000023,,,,0.0
34.900000000000226,0.0,0.0,0.0,
34.93003000000023,,,,0.0
35.00000000000023,0.0,0.0,0.0,
35.03003000000023,,,,0.0
35.10000000000023,0.0,0.0,0.0,
35.13003000000023,,,,0.0
35.20000000000023,0.0,0.0,0.0,
35.230030000000234,,,,0.0
35.30000000000023,0.0,0.0,0.0,
35.330030000000235,,,,0.0
35.40000000000023,0.0,0.0,0.0,
35.43003000000024,,,,0.0
35.500000000000234,0.0,0.0,0.0,
35.53003000000024,,,,0.0
35.600000000000236,0.0,0.0,0.0,
35.63003000000024,,,,0.0
35.70000000000024,0.0,0.0,0.0,
35.73003000000024,,,,0.0
35.80000000000024,0.0,0.0,0.0,
35.83003000000024,,,,0.0
35.90000000000024,0.0,0.0,0.0,
35.930030000000244,,,,0.0
36.00000000000024,0.0,0.0,0.0,
36.030030000000245,,,,0.0
36.10000000000024,0.0,0.0,0.0,
36.13003000000025,,,,0.0
36.200000000000244,0.0,0.0,0.0,
36.23003000000025,,,,0.0
36.300000000000246,0.0,0.0,0.0,
36.33003000000025,,,,0.0
36.40000000000025,0.0,0.0,0.0,
36.43003000000025,,,,0.0
36.50000000000025,0.0,0.0,0.0,
36.53003000000025,,,,0.0
36.60000000000025,0.0,0.0,0.0,
36.630030000000254,,,,0.0
36.70000000000025,0.0,0.0,0.0,
36.730030000000255,,,,0.0
36.80000000000025,0.0,0.0,0.0,
36.83003000000026,,,,0.0
36.900000000000254,0.0,0.0,0.0,
36.93003000000026,,,,0.0
37.000000000000256,0.0,0.0,0.0,
37.03003000000026,,,,0.0
37.10000000000026,0.0,0.0,0.0,
37.13003000000026,,,,0.0
37.20000000000026,0.0,0.0,0.0,
37.23003000000026,,,,0.0
37.30000000000026,0.0,0.0,0.0,
37.330030000000264,,,,0.0
37.40000000000026,0.0,0.0,0.0,
37.430030000000265,,,,0.0
37.50000000000026,0.0,0.0,0.0,
37.53003000000027,,,,0.0
37.600000000000264,0.0,0.0,0.0,
37.63003000000027,,,,0.0
37.700000000000266,0.0,0.0,0.0,
37.73003000000027,,,,0.0
37.80000000000027,0.0,0.0,0.0,
37.83003000000027,,,,0.0
37.90000000000027,0.0,0.0,0.0,
37.93003000000027,,,,0.0
38.00000000000027,0.0,0.0,0.0,
38.030030000000274,,,,0.0
38.10000000000027,0.0,0.0,0.0,
38.130030000000275,,,,0.0
38.20000000000027,0.0,0.0,0.0,
38.230030000000276,,,,0.0
38.300000000000274,0.0,0.0,0.0,
38.33003000000028,,,,0.0
