time,Queue_1_load,Queue_2_load,Queue_3_load,Queue_4_load,Queue_5_load,Queue_6_load
3.1240999999999715,,,35.0,,,
3.1240999999999715,,,34.0,,,
3.124179999999974,,,35.0,,,
3.1249499999999713,,,35.0,,,
3.1249499999999713,,,34.0,,,
3.125029999999974,,,35.0,,,
3.125799999999971,,,35.0,,,
3.125799999999971,,,34.0,,,
3.125879999999974,,,35.0,,,
3.126649999999971,,,35.0,,,
3.126649999999971,,,34.0,,,
3.1267299999999736,,,35.0,,,
3.1274999999999706,,,35.0,,,
3.1274999999999706,,,34.0,,,
3.1275799999999734,,,35.0,,,
3.1283499999999704,,,35.0,,,
3.1283499999999704,,,34.0,,,
3.128429999999973,,,35.0,,,
3.1291999999999702,,,35.0,,,
3.1291999999999702,,,34.0,,,
3.129279999999973,,,35.0,,,
3.13004999999997,,,35.0,,,
3.13004999999997,,,34.0,,,
3.13089999999997,,,34.0,,,
3.13089999999997,,,33.0,,,
3.1317499999999696,,,33.0,,,
3.1317499999999696,,,32.0,,,
3.1318299999999724,,,33.0,,,
3.1325999999999694,,,33.0,,,
3.1325999999999694,,,32.0,,,
3.132679999999972,,,33.0,,,
3.133449999999969,,,33.0,,,
3.133449999999969,,,32.0,,,
3.133529999999972,,,33.0,,,
3.134299999999969,,,33.0,,,
3.134299999999969,,,32.0,,,
3.1343799999999717,,,33.0,,,
3.135149999999969,,,33.0,,,
3.135149999999969,,,32.0,,,
3.1352299999999715,,,33.0,,,
3.1359999999999686,,,33.0,,,
3.1359999999999686,,,32.0,,,
3.1360799999999713,,,33.0,,,
3.1368499999999684,,,33.0,,,
3.1368499999999684,,,32.0,,,
3.136929999999971,,,33.0,,,
3.137699999999968,,,33.0,,,
3.137699999999968,,,32.0,,,
3.137779999999971,,,33.0,,,
3.138549999999968,,,33.0,,,
3.138549999999968,,,32.0,,,
3.1386299999999707,,,33.0,,,
3.1393999999999678,,,33.0,,,
3.1393999999999678,,,32.0,,,
3.1394799999999705,,,33.0,,,
3.1402499999999676,,,33.0,,,
3.1402499999999676,,,32.0,,,
3.1403299999999703,,,33.0,,,
3.1410999999999674,,,33.0,,,
3.1410999999999674,,,32.0,,,
3.141949999999967,,,32.0,,,
3.141949999999967,,,31.0,,,
3.142799999999967,,,31.0,,,
3.142799999999967,,,30.0,,,
3.1428799999999697,,,31.0,,,
